Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
399CA,150811406,KA57F1564,399CA/1-All Days,9867358837
500F,150222244,KA57F0068,500F/15-All Days,9987864391
210G,150222491,KA57F1532,210G/4-All Days,9987834562
168DA,150221161,KA57F1499,168DA/1-All Days,9987864611
240F,150813791,KA01F8651,240F/1-All Days,9987783234
77,150218786,KA01F3465,77/6-All Days,9987787538
235B,150221063,KA01F3523,235B/1-All Days,9967546383
180,150220554,KA01F3875,180/5-All Days,9987785276
144A,150218750,KA01FA0129,144A/1-All Days,9987793386
140,150218401,KA01F2241,140/1-All Days,9987811369
348F,150218761,KA01FA0694,348F/2-All Days,9987816690
362C,150221344,KA01F2831,362C/9-All Days,9987864877
502H,150221773,KA57F0772,502H/22-All Days,8828028571
368H,150218412,KA01FA17,368H/1-All Days,9987826051
307C,150220055,KA01FA1069,307C/1-All Days,9987783036
500C,150813408,KA01FA0526,500C/2-All Days,9967550471
314H,150221435,KA01FA0655,314H/3-All Days,9987780724
G-3,150218651,KA01FA2239,G-3/26-All Days,9987890982
336,150220219,KA01FA0724,336/1-All Days,9987899611
334B,150220416,KA01FA0592,334B/1-All Days,9987781738
288C,150812439,KA01FA0737,288C/1-All Days,9967552396
401A,150222167,KA01FA1672,401A/18-All Days,9967474493
MBS-15,150814727,KA57F1077,MBS-15/2-Week Days,9967470012
401T,150218013,KA01FA0364,401T/1-All Days,9987895016
342MA,150218371,KA01FA1589,342MA/1-All Days,9967516911
600F,150219742,KA57F0993,600F/10-All Days,9987819033
362A,150222758,KA01FA1482,362A/2-All Days,9987793132
342H,150219186,KA01FA1236,342H/12-Holiday,9987810995
146,150222078,KA01FA1838,146/2-Week Days,9987814898
G-2,150222860,KA01FA2282,G-2/5-All Days,9987769363
215H,150810245,KA53F0179,215H/1-Week Days,9987818278
322,150220673,KA01FA0574,322/1-All Days,9987792965
500QK,150811571,KA01FA0971,500QK/12-All Days,9967561976
356B,150220384,KA01FA0324,356B/1-All Days,9967504016
215J,150220830,KA01FA0250,215J/2-All Days,9967504724
210NB,150814646,KA01F9512,210NB/1-All Days,9967553634
227Q,150813269,KA01FA2243,227Q/1-All Days,9987783126
227A,150223012,KA57F0770,227A/2-All Days,9967514294
502E,150222144,KA01F9308,502E/13-All Days,9987792261
77C,150812015,KA01F3088,77C/1-All Days,9892352593
V-356P,150219732,KA01FA0586,V-356P/4-All Days,9987892423
171H,150219380,KA01F4542,171H/1-Week Days,9892895978
360K,150219109,KA57F0453,360K/17-All Days,9987788360
161B,150220756,KA01FA0461,161B/1-All Days,9987899517
250AC,150812892,KA01F4829,250AC/6-All Days,9967460431
79J,150811679,KA01F3829,79J/1-All Days,9987864504
227H,150220578,KA57F1266,227H/1-All Days,8828028619
290Q,150220501,KA01F3536,290Q/4-All Days,9987865669
415,150219865,KA01F3127,415/3-All Days,9987792108
238U,150810542,KA01FA2210,238U/8-Holiday,9967481270
176,150814141,KA01F8622,176/4-Holiday,9967478364
V-500D,150812093,KA01FA2125,V-500D/50-All Days,9967665084
298M,150219649,KA57F0647,298M/13-All Days,9987791948
402B,150221837,KA57F1058,402B/13-Weekday-Holiday,8828028482
500D,150222079,KA01F8769,500D/29-All Days,9987804711
